question,answer,intent
What is the admission process?,Admissions are based on merit and entrance exam scores. You need to fill the application form online.,admissions
When does admission start?,Admissions start in June every year and continue till August.,admissions
How do I apply for admission?,Visit our website and fill the online admission form with required documents.,admissions
What documents are needed for admission?,You need 12th marksheet academic certificates ID proof and passport photos.,admissions
What are the college fees?,The annual tuition fee is 85000 INR per year.,fees
What is the tuition fee?,Academic tuition charges are 85000 INR per year excluding accommodation.,fees
How much does college cost?,Total course fees for studies is 85000 INR annually.,fees
Can I pay fees in installments?,Yes academic fees can be paid in two installments per semester.,fees
What is the study fee?,The study and course fee is 85000 INR per year.,fees
When are exams conducted?,Semester exams are conducted in November and April every year.,exams
What is the exam timetable?,The exam timetable is released one month before exams on the notice board.,exams
How many exams per year?,There are two main semester exams and internal assessments throughout the year.,exams
What is the exam pattern?,Exams have theory and practical components with internal and external evaluation.,exams
Is hostel available?,Yes separate hostel accommodation is available for boys and girls.,hostel
What are hostel fees?,Hostel accommodation fee is 45000 INR per year including meals.,hostel
What is the hostel fee?,Residence and lodging charges are 45000 INR annually with food.,hostel
How much is accommodation?,Hostel accommodation costs 45000 INR per year with dining.,hostel
Are hostel rooms shared?,Yes hostel rooms are shared with 2-3 students per room.,hostel
What facilities are in hostel?,Hostel has wifi mess laundry recreation room and 24x7 security.,hostel
Are scholarships available?,Yes merit-based and government scholarships are available for eligible students.,scholarship
How to apply for scholarship?,You can apply through the national scholarship portal or college office.,scholarship
What scholarships are offered?,We offer merit scholarships SC ST OBC scholarships and minority scholarships.,scholarship
When do scholarships open?,Scholarship applications open in July every year.,scholarship
